wavelength_nm,absorbance
380.00,0.07842
381.00,0.08379
382.00,0.08967
383.00,0.08361
384.00,0.08711
385.00,0.10386
386.00,0.09874
387.00,0.09681
388.00,0.11218
389.00,0.11661
390.00,0.10905
391.00,0.12412
392.00,0.13175
393.00,0.13426
394.00,0.14056
395.00,0.13317
396.00,0.14847
397.00,0.14961
398.00,0.15352
399.00,0.16666
400.00,0.17537
401.00,0.18233
402.00,0.18453
403.00,0.18106
404.00,0.18890
405.00,0.19642
406.00,0.19755
407.00,0.20256
408.00,0.21161
409.00,0.21113
410.00,0.21185
411.00,0.21837
412.00,0.22919
413.00,0.22982
414.00,0.23612
415.00,0.24223
416.00,0.23994
417.00,0.25054
418.00,0.25191
419.00,0.24567
420.00,0.26498
421.00,0.25637
422.00,0.25227
423.00,0.25853
424.00,0.26105
425.00,0.26962
426.00,0.26956
427.00,0.27082
428.00,0.27795
429.00,0.27740
430.00,0.27813
431.00,0.27930
432.00,0.28088
433.00,0.26462
434.00,0.27490
435.00,0.26357
436.00,0.27617
437.00,0.27497
438.00,0.28007
439.00,0.27948
440.00,0.27188
441.00,0.26575
442.00,0.26952
443.00,0.26108
444.00,0.26167
445.00,0.26483
446.00,0.25262
447.00,0.25767
448.00,0.25361
449.00,0.24037
450.00,0.24835
451.00,0.24298
452.00,0.23557
453.00,0.22645
454.00,0.22184
455.00,0.21967
456.00,0.22198
457.00,0.20878
458.00,0.21288
459.00,0.19853
460.00,0.20047
461.00,0.19807
462.00,0.20782
463.00,0.18065
464.00,0.19354
465.00,0.18146
466.00,0.17895
467.00,0.17318
468.00,0.17121
469.00,0.16379
470.00,0.16970
471.00,0.15462
472.00,0.16065
473.00,0.14662
474.00,0.14688
475.00,0.13771
476.00,0.14391
477.00,0.14705
478.00,0.13526
479.00,0.13205
480.00,0.12421
481.00,0.12735
482.00,0.11716
483.00,0.11940
484.00,0.12457
485.00,0.12961
486.00,0.13721
487.00,0.11566
488.00,0.12677
489.00,0.11877
490.00,0.11570
491.00,0.11865
492.00,0.11603
493.00,0.11607
494.00,0.11285
495.00,0.10694
496.00,0.10623
497.00,0.11969
498.00,0.11452
499.00,0.11312
500.00,0.11737
501.00,0.12281
502.00,0.11994
503.00,0.11583
504.00,0.12810
505.00,0.13127
506.00,0.12588
507.00,0.12993
508.00,0.13277
509.00,0.13336
510.00,0.13157
511.00,0.13280
512.00,0.13367
513.00,0.12533
514.00,0.13748
515.00,0.12650
516.00,0.13122
517.00,0.14514
518.00,0.14368
519.00,0.14884
520.00,0.13953
521.00,0.13546
522.00,0.14208
523.00,0.14524
524.00,0.14615
525.00,0.15346
526.00,0.14540
527.00,0.15052
528.00,0.14324
529.00,0.15256
530.00,0.15047
531.00,0.14647
