wavelength_nm,absorbance
380.00,0.08708
381.00,0.08744
382.00,0.10468
383.00,0.09649
384.00,0.11159
385.00,0.09913
386.00,0.11356
387.00,0.11635
388.00,0.11372
389.00,0.12460
390.00,0.13551
391.00,0.13108
392.00,0.12774
393.00,0.14273
394.00,0.14244
395.00,0.15087
396.00,0.15757
397.00,0.15300
398.00,0.15874
399.00,0.17656
400.00,0.17578
401.00,0.16877
402.00,0.19411
403.00,0.19626
404.00,0.19553
405.00,0.19705
406.00,0.21506
407.00,0.21716
408.00,0.23430
409.00,0.22737
410.00,0.23192
411.00,0.23321
412.00,0.24360
413.00,0.24680
414.00,0.25475
415.00,0.24814
416.00,0.25251
417.00,0.25590
418.00,0.26698
419.00,0.27448
420.00,0.26577
421.00,0.26877
422.00,0.27577
423.00,0.27474
424.00,0.28399
425.00,0.26659
426.00,0.27669
427.00,0.27824
428.00,0.27003
429.00,0.27892
430.00,0.27968
431.00,0.28416
432.00,0.29197
433.00,0.28347
434.00,0.27813
435.00,0.28308
436.00,0.28856
437.00,0.27499
438.00,0.27371
439.00,0.28060
440.00,0.27375
441.00,0.27657
442.00,0.26998
443.00,0.27143
444.00,0.25797
445.00,0.26087
446.00,0.25625
447.00,0.24662
448.00,0.24078
449.00,0.25037
450.00,0.24011
451.00,0.23192
452.00,0.23321
453.00,0.23618
454.00,0.21128
455.00,0.21147
456.00,0.21035
457.00,0.22004
458.00,0.20833
459.00,0.20659
460.00,0.19049
461.00,0.18597
462.00,0.19076
463.00,0.18384
464.00,0.18224
465.00,0.17335
466.00,0.17174
467.00,0.16670
468.00,0.16618
469.00,0.16222
470.00,0.14363
471.00,0.13596
472.00,0.15166
473.00,0.14912
474.00,0.13235
475.00,0.12394
476.00,0.13247
477.00,0.13438
478.00,0.13666
479.00,0.12621
480.00,0.11828
481.00,0.11271
482.00,0.11587
483.00,0.11190
484.00,0.10566
485.00,0.12227
486.00,0.11908
487.00,0.11374
488.00,0.10011
489.00,0.10964
490.00,0.10738
491.00,0.10538
492.00,0.10956
493.00,0.10535
494.00,0.10560
495.00,0.10474
496.00,0.10286
497.00,0.09013
498.00,0.10147
499.00,0.09789
500.00,0.09391
501.00,0.11215
502.00,0.11300
503.00,0.11144
504.00,0.10556
505.00,0.11296
506.00,0.10582
507.00,0.10792
508.00,0.10116
509.00,0.11117
510.00,0.11026
511.00,0.10323
512.00,0.11191
513.00,0.11294
514.00,0.12543
515.00,0.12124
516.00,0.11717
517.00,0.11983
518.00,0.11983
519.00,0.11955
520.00,0.11547
521.00,0.12222
522.00,0.11978
523.00,0.11785
524.00,0.12947
525.00,0.12976
526.00,0.11765
527.00,0.12853
528.00,0.13609
529.00,0.13724
530.00,0.13776
531.00,0.13247
532.00,0.12774
533.00,0.12680
534.00,0.13578
535.00,0.13632
536.00,0.14202
537.00,0.14106
538.00,0.13375
539.00,0.12707
540.00,0.13253
541.00,0.13556
542.00,0.13278
543.00,0.13017
544.00,0.13471
545.00,0.12965
546.00,0.12829
547.00,0.13323
548.00,0.12817
549.00,0.13119
550.00,0.13043
551.00,0.12094
552.00,0.12380
553.00,0.13416
554.00,0.11733
555.00,0.11031
556.00,0.11049
557.00,0.12042
558.00,0.11896
559.00,0.11654
560.00,0.12296
561.00,0.09802
562.00,0.11477
563.00,0.12006
564.00,0.10220
565.00,0.10492
566.00,0.10089
567.00,0.09822
568.00,0.09979
569.00,0.10846
570.00,0.10906
571.00,0.09415
572.00,0.10571
573.00,0.09261
574.00,0.10104
575.00,0.08808
576.00,0.08756
577.00,0.08711
578.00,0.10215
579.00,0.08635
580.00,0.07519
581.00,0.08346
582.00,0.07371
583.00,0.07121
584.00,0.07789
585.00,0.07094
586.00,0.07078
587.00,0.06757
588.00,0.06793
589.00,0.06691
590.00,0.05123
591.00,0.06538
592.00,0.05406
593.00,0.04990
594.00,0.05686
595.00,0.05640
596.00,0.05047
597.00,0.05838
598.00,0.04416
599.00,0.04863
600.00,0.04645
601.00,0.04862
602.00,0.04955
603.00,0.04085
604.00,0.05030
605.00,0.04544
606.00,0.03284
607.00,0.03162
608.00,0.04251
609.00,0.04051
610.00,0.04050
611.00,0.04028
612.00,0.04115
613.00,0.04488
614.00,0.03194
615.00,0.03103
616.00,0.03099
617.00,0.03879
618.00,0.04407
619.00,0.03358
620.00,0.02075
621.00,0.02516
622.00,0.03002
623.00,0.03134
624.00,0.03193
625.00,0.03432
626.00,0.03195
627.00,0.03986
628.00,0.02928
629.00,0.02794
630.00,0.03579
631.00,0.02352
632.00,0.03491
633.00,0.03303
634.00,0.03139
635.00,0.04168
636.00,0.02830
637.00,0.04429
638.00,0.03048
639.00,0.02408
640.00,0.03209
641.00,0.02514
642.00,0.02703
643.00,0.03387
644.00,0.03478
645.00,0.02768
646.00,0.03730
647.00,0.03830
648.00,0.03995
649.00,0.03449
650.00,0.03949
651.00,0.02001
652.00,0.02939
653.00,0.02610
654.00,0.03202
655.00,0.02788
656.00,0.03032
657.00,0.04263
658.00,0.03033
659.00,0.03385
660.00,0.02999
661.00,0.03186
662.00,0.03147
663.00,0.03414
664.00,0.03847
665.00,0.04139
666.00,0.03339
667.00,0.03510
668.00,0.02469
669.00,0.03110
670.00,0.03730
671.00,0.03689
672.00,0.03300
673.00,0.03708
674.00,0.03474
675.00,0.03904
676.00,0.03361
677.00,0.02977
678.00,0.03396
679.00,0.01440
680.00,0.03432
681.00,0.01017
682.00,0.02175
683.00,0.03484
684.00,0.03504
685.00,0.02524
686.00,0.02798
687.00,0.04051
688.00,0.02942
689.00,0.04582
690.00,0.03239
691.00,0.03489
692.00,0.04219
693.00,0.03331
694.00,0.02655
695.00,0.03194
696.00,0.03243
697.00,0.02449
698.00,0.03119
699.00,0.02831
700.00,0.03835
