wavelength_nm,absorbance
380.00,0.08272
381.00,0.09038
382.00,0.09600
383.00,0.09878
384.00,0.09783
385.00,0.09215
386.00,0.10472
387.00,0.11429
388.00,0.10970
389.00,0.12459
390.00,0.13091
391.00,0.13097
392.00,0.11667
393.00,0.13230
394.00,0.15629
395.00,0.14676
396.00,0.14326
397.00,0.16775
398.00,0.16564
399.00,0.17744
400.00,0.17775
401.00,0.18412
402.00,0.18884
403.00,0.19612
404.00,0.21086
405.00,0.20824
406.00,0.19811
407.00,0.21539
408.00,0.22461
409.00,0.22994
410.00,0.22504
411.00,0.23935
412.00,0.24257
413.00,0.25696
414.00,0.24139
415.00,0.24707
416.00,0.25232
417.00,0.25509
418.00,0.25638
419.00,0.24863
420.00,0.26588
421.00,0.27378
422.00,0.27144
423.00,0.28863
424.00,0.27947
425.00,0.28927
426.00,0.28497
427.00,0.28999
428.00,0.28808
429.00,0.29573
430.00,0.28871
431.00,0.29195
432.00,0.29151
433.00,0.28766
434.00,0.29164
435.00,0.30219
436.00,0.28649
437.00,0.28971
438.00,0.29359
439.00,0.29151
440.00,0.28314
441.00,0.26696
442.00,0.28235
443.00,0.26374
444.00,0.28350
445.00,0.27316
446.00,0.27545
447.00,0.26121
448.00,0.25436
449.00,0.26217
450.00,0.25725
451.00,0.25126
452.00,0.25142
453.00,0.26417
454.00,0.24919
455.00,0.24709
456.00,0.24247
457.00,0.24291
458.00,0.22955
459.00,0.21508
460.00,0.22305
461.00,0.22592
462.00,0.21219
463.00,0.21402
464.00,0.20813
465.00,0.21864
466.00,0.21162
467.00,0.20870
468.00,0.20638
469.00,0.20047
470.00,0.20012
471.00,0.19029
472.00,0.18297
473.00,0.19592
474.00,0.19612
475.00,0.20085
476.00,0.20269
477.00,0.20262
478.00,0.18741
479.00,0.19175
480.00,0.19748
481.00,0.21081
482.00,0.20579
483.00,0.20519
484.00,0.19799
485.00,0.19713
486.00,0.20955
487.00,0.20086
488.00,0.20895
489.00,0.21286
490.00,0.22653
491.00,0.21851
492.00,0.20991
493.00,0.23170
494.00,0.22883
495.00,0.23784
496.00,0.24182
497.00,0.24563
498.00,0.25713
499.00,0.24847
500.00,0.25998
501.00,0.27275
502.00,0.27063
503.00,0.27044
504.00,0.28997
505.00,0.29864
506.00,0.29762
507.00,0.29216
508.00,0.31422
509.00,0.30610
510.00,0.32397
511.00,0.32282
512.00,0.32717
513.00,0.33740
514.00,0.34480
515.00,0.34779
516.00,0.36083
517.00,0.36013
518.00,0.37406
519.00,0.37508
520.00,0.37424
521.00,0.37808
522.00,0.37803
523.00,0.39408
524.00,0.39440
525.00,0.38625
526.00,0.40096
527.00,0.40219
528.00,0.42020
529.00,0.40339
530.00,0.40752
531.00,0.42508
532.00,0.42851
533.00,0.41753
534.00,0.41951
535.00,0.42797
536.00,0.41096
537.00,0.41406
538.00,0.42351
539.00,0.43413
540.00,0.42152
541.00,0.42370
542.00,0.42853
543.00,0.43267
544.00,0.41454
545.00,0.41555
546.00,0.42391
547.00,0.40087
548.00,0.41289
549.00,0.39704
550.00,0.39991
551.00,0.39370
552.00,0.38501
553.00,0.38020
554.00,0.38286
555.00,0.38204
556.00,0.36993
557.00,0.36557
558.00,0.36281
559.00,0.34762
560.00,0.35177
561.00,0.34599
562.00,0.35028
563.00,0.32587
564.00,0.31873
565.00,0.31935
566.00,0.31281
567.00,0.29778
568.00,0.29161
569.00,0.29027
570.00,0.27502
571.00,0.27046
572.00,0.26639
573.00,0.26477
574.00,0.24813
575.00,0.23369
576.00,0.22627
577.00,0.22329
578.00,0.21611
579.00,0.21627
580.00,0.20336
581.00,0.19965
582.00,0.19270
583.00,0.18828
584.00,0.19255
585.00,0.18240
586.00,0.17245
587.00,0.16365
