wavelength_nm,absorbance
380.00,0.08071
381.00,0.08759
382.00,0.07654
383.00,0.08561
384.00,0.08633
385.00,0.09129
386.00,0.10132
387.00,0.09251
388.00,0.11283
389.00,0.11789
390.00,0.11617
391.00,0.10720
392.00,0.12059
393.00,0.13852
394.00,0.11909
395.00,0.13836
396.00,0.13811
397.00,0.15482
398.00,0.15077
399.00,0.16211
400.00,0.16796
401.00,0.18048
402.00,0.17314
403.00,0.18150
404.00,0.17520
405.00,0.19608
406.00,0.18917
407.00,0.19510
408.00,0.20300
409.00,0.19835
410.00,0.21361
411.00,0.22245
412.00,0.22269
413.00,0.21557
414.00,0.22840
415.00,0.23749
416.00,0.22550
417.00,0.23390
418.00,0.24900
419.00,0.24857
420.00,0.25244
421.00,0.26394
422.00,0.25820
423.00,0.26172
424.00,0.27620
425.00,0.26059
426.00,0.25879
427.00,0.26761
428.00,0.26890
429.00,0.26408
430.00,0.26178
431.00,0.28233
432.00,0.27067
433.00,0.26431
434.00,0.27395
435.00,0.26732
436.00,0.26573
437.00,0.26967
438.00,0.25736
439.00,0.26583
440.00,0.27358
441.00,0.26308
442.00,0.25601
443.00,0.25302
444.00,0.25122
445.00,0.24962
446.00,0.24618
447.00,0.25110
448.00,0.23223
449.00,0.24471
450.00,0.23406
451.00,0.23531
452.00,0.22292
453.00,0.23423
454.00,0.23025
455.00,0.22502
456.00,0.20664
457.00,0.21716
458.00,0.21108
459.00,0.19550
460.00,0.20151
461.00,0.20041
462.00,0.19819
463.00,0.19262
464.00,0.19010
465.00,0.19409
466.00,0.18961
467.00,0.16218
468.00,0.17474
469.00,0.17307
470.00,0.16110
471.00,0.16991
472.00,0.17473
473.00,0.15879
474.00,0.16559
475.00,0.15653
476.00,0.15664
477.00,0.16839
478.00,0.15533
479.00,0.16063
480.00,0.14611
481.00,0.16820
482.00,0.16056
483.00,0.15598
484.00,0.16087
485.00,0.14952
486.00,0.16584
487.00,0.15778
488.00,0.15969
489.00,0.15936
490.00,0.16042
491.00,0.16986
492.00,0.16920
493.00,0.17374
494.00,0.17211
495.00,0.17774
496.00,0.17480
497.00,0.19351
498.00,0.17367
499.00,0.19373
500.00,0.19758
501.00,0.18759
502.00,0.20950
503.00,0.20561
504.00,0.20906
505.00,0.20707
506.00,0.20932
507.00,0.21313
508.00,0.22053
509.00,0.23042
510.00,0.22693
511.00,0.22421
512.00,0.23844
513.00,0.24280
514.00,0.24495
515.00,0.24920
516.00,0.24673
517.00,0.24635
518.00,0.25018
519.00,0.24896
520.00,0.26346
521.00,0.26469
522.00,0.26558
523.00,0.25337
524.00,0.26635
525.00,0.28314
526.00,0.27485
527.00,0.28324
528.00,0.27479
529.00,0.29364
530.00,0.28583
531.00,0.28991
532.00,0.30340
533.00,0.29961
534.00,0.28953
535.00,0.28845
536.00,0.29047
537.00,0.29568
538.00,0.29197
539.00,0.28998
540.00,0.30068
541.00,0.29050
542.00,0.30407
543.00,0.28969
544.00,0.29850
545.00,0.28837
546.00,0.29023
547.00,0.27813
548.00,0.27517
549.00,0.28068
550.00,0.28129
551.00,0.27285
552.00,0.26196
553.00,0.25842
554.00,0.25476
555.00,0.24930
556.00,0.25700
557.00,0.25939
558.00,0.24873
559.00,0.23130
560.00,0.23965
561.00,0.23565
562.00,0.24494
563.00,0.21927
564.00,0.22125
565.00,0.22934
566.00,0.21726
567.00,0.21334
568.00,0.20602
569.00,0.20265
570.00,0.20065
571.00,0.18643
572.00,0.19185
573.00,0.17365
574.00,0.17917
575.00,0.17361
576.00,0.16420
577.00,0.16316
578.00,0.15500
579.00,0.14778
580.00,0.14763
581.00,0.13872
582.00,0.14294
583.00,0.12984
584.00,0.13681
585.00,0.12134
586.00,0.12099
587.00,0.11669
588.00,0.12453
589.00,0.11480
590.00,0.10787
591.00,0.10856
592.00,0.08944
593.00,0.09845
594.00,0.10741
595.00,0.09305
596.00,0.08959
597.00,0.08950
598.00,0.08871
599.00,0.06859
600.00,0.06781
601.00,0.07661
602.00,0.06859
603.00,0.07839
604.00,0.06636
605.00,0.05447
606.00,0.05639
607.00,0.04551
608.00,0.05871
609.00,0.05718
610.00,0.05405
611.00,0.06143
612.00,0.06059
613.00,0.05091
614.00,0.03772
615.00,0.05291
616.00,0.05129
617.00,0.04863
618.00,0.05154
619.00,0.03761
620.00,0.05567
621.00,0.03693
622.00,0.04630
623.00,0.03087
624.00,0.03464
625.00,0.04860
626.00,0.03727
627.00,0.04325
628.00,0.03904
629.00,0.03645
630.00,0.04476
631.00,0.03469
632.00,0.02499
633.00,0.03045
634.00,0.03821
635.00,0.03693
636.00,0.02484
637.00,0.02961
638.00,0.03020
639.00,0.03126
640.00,0.02497
641.00,0.02926
642.00,0.02847
643.00,0.03731
644.00,0.03739
645.00,0.03152
646.00,0.02992
647.00,0.03301
648.00,0.02717
649.00,0.02511
650.00,0.02628
651.00,0.02804
652.00,0.02482
653.00,0.03272
654.00,0.03609
655.00,0.02216
656.00,0.03180
657.00,0.03031
658.00,0.03367
659.00,0.03153
660.00,0.02288
661.00,0.02403
662.00,0.03178
663.00,0.03779
664.00,0.01834
665.00,0.03371
666.00,0.03879
667.00,0.03075
668.00,0.03499
669.00,0.02749
670.00,0.03102
671.00,0.02203
672.00,0.01772
673.00,0.03747
674.00,0.02593
675.00,0.02914
676.00,0.02359
677.00,0.02348
678.00,0.03093
679.00,0.02763
680.00,0.03431
681.00,0.03479
682.00,0.03404
683.00,0.03358
684.00,0.04165
685.00,0.02582
686.00,0.03193
687.00,0.03909
688.00,0.03992
689.00,0.02384
690.00,0.03054
691.00,0.04060
692.00,0.03554
693.00,0.03370
694.00,0.03126
695.00,0.03030
696.00,0.03437
697.00,0.03117
698.00,0.03247
699.00,0.03323
700.00,0.02873
