wavelength_nm,absorbance
380.00,0.08723
381.00,0.10417
382.00,0.10214
383.00,0.11478
384.00,0.11635
385.00,0.12553
386.00,0.13304
387.00,0.13229
388.00,0.14321
389.00,0.12774
390.00,0.15686
391.00,0.15517
392.00,0.16510
393.00,0.15711
394.00,0.16532
395.00,0.17712
396.00,0.18215
397.00,0.19001
398.00,0.20091
399.00,0.18994
400.00,0.21251
401.00,0.21285
402.00,0.21771
403.00,0.21621
404.00,0.23412
405.00,0.22263
406.00,0.24695
407.00,0.23997
408.00,0.25501
409.00,0.25963
410.00,0.27290
411.00,0.27021
412.00,0.27235
413.00,0.27855
414.00,0.29412
415.00,0.29439
416.00,0.29335
417.00,0.29851
418.00,0.29456
419.00,0.31008
420.00,0.30072
421.00,0.31906
422.00,0.31831
423.00,0.33456
424.00,0.31606
425.00,0.32416
426.00,0.33738
427.00,0.33524
428.00,0.32511
429.00,0.33151
430.00,0.33074
431.00,0.33267
432.00,0.32672
433.00,0.32999
434.00,0.32024
435.00,0.32964
436.00,0.33022
437.00,0.32456
438.00,0.31434
439.00,0.32779
440.00,0.32160
441.00,0.31235
442.00,0.31207
443.00,0.30155
444.00,0.30098
445.00,0.30027
446.00,0.30703
447.00,0.29180
448.00,0.29529
449.00,0.28387
450.00,0.28410
451.00,0.27715
452.00,0.27853
453.00,0.26527
454.00,0.25417
455.00,0.25038
456.00,0.25051
457.00,0.24122
458.00,0.24618
459.00,0.23594
460.00,0.24802
461.00,0.21844
462.00,0.22523
463.00,0.21246
464.00,0.21158
465.00,0.21080
466.00,0.19153
467.00,0.20257
468.00,0.20837
469.00,0.19019
470.00,0.19060
471.00,0.19149
472.00,0.18084
473.00,0.17502
474.00,0.16173
475.00,0.17632
476.00,0.16910
477.00,0.16123
478.00,0.16582
479.00,0.15954
480.00,0.15808
481.00,0.16334
482.00,0.15036
483.00,0.16360
484.00,0.14809
485.00,0.15190
486.00,0.16704
487.00,0.16213
488.00,0.15605
489.00,0.15014
490.00,0.15315
491.00,0.15753
492.00,0.15828
493.00,0.15869
494.00,0.16042
495.00,0.16088
496.00,0.15526
497.00,0.16274
498.00,0.17341
499.00,0.16196
500.00,0.17142
501.00,0.17017
502.00,0.17841
503.00,0.17818
504.00,0.19225
505.00,0.18940
506.00,0.18155
507.00,0.19657
508.00,0.19108
509.00,0.19551
510.00,0.20412
511.00,0.20259
512.00,0.21421
513.00,0.20752
514.00,0.21176
515.00,0.21481
516.00,0.21861
517.00,0.23180
518.00,0.23213
519.00,0.24170
520.00,0.24805
521.00,0.23118
522.00,0.24060
523.00,0.23584
524.00,0.24082
525.00,0.24418
526.00,0.24396
527.00,0.24618
528.00,0.25367
529.00,0.24913
530.00,0.26321
531.00,0.25420
532.00,0.27794
533.00,0.25958
534.00,0.26373
535.00,0.25636
536.00,0.27500
537.00,0.27192
538.00,0.26723
539.00,0.25741
540.00,0.26660
541.00,0.25826
542.00,0.27321
543.00,0.26854
544.00,0.26331
545.00,0.24697
546.00,0.25436
547.00,0.26286
548.00,0.26430
549.00,0.26179
550.00,0.24351
551.00,0.25263
552.00,0.25450
553.00,0.23589
554.00,0.24307
555.00,0.24189
556.00,0.23543
557.00,0.22297
558.00,0.22885
559.00,0.22545
560.00,0.22302
561.00,0.21691
562.00,0.21393
563.00,0.21256
564.00,0.21158
565.00,0.20315
566.00,0.19851
567.00,0.19747
568.00,0.18128
569.00,0.19152
570.00,0.18448
571.00,0.18053
572.00,0.18185
573.00,0.16015
574.00,0.15581
575.00,0.16509
576.00,0.15921
577.00,0.15611
578.00,0.14817
579.00,0.15083
580.00,0.14837
581.00,0.14166
582.00,0.13322
583.00,0.11823
584.00,0.13164
585.00,0.13057
586.00,0.12339
587.00,0.11060
588.00,0.11635
589.00,0.11398
590.00,0.11476
591.00,0.09683
592.00,0.09749
593.00,0.10018
594.00,0.09298
595.00,0.08296
596.00,0.08927
597.00,0.08747
598.00,0.08183
599.00,0.08002
600.00,0.07464
601.00,0.08264
602.00,0.06603
603.00,0.06568
604.00,0.06712
605.00,0.07026
606.00,0.05403
607.00,0.05326
608.00,0.04709
609.00,0.05779
610.00,0.04923
611.00,0.05207
612.00,0.05686
613.00,0.04762
614.00,0.05151
615.00,0.04705
616.00,0.05168
617.00,0.04935
618.00,0.04127
619.00,0.04339
620.00,0.04971
621.00,0.04490
622.00,0.03331
623.00,0.04483
624.00,0.03364
625.00,0.04792
626.00,0.04493
627.00,0.03991
628.00,0.03854
629.00,0.03581
630.00,0.04064
631.00,0.03389
632.00,0.03710
633.00,0.04052
634.00,0.03155
635.00,0.03089
636.00,0.02711
637.00,0.02760
638.00,0.02275
639.00,0.03786
640.00,0.04411
641.00,0.04161
642.00,0.02312
643.00,0.03706
644.00,0.04110
645.00,0.02969
646.00,0.03292
647.00,0.02015
648.00,0.03370
649.00,0.02564
650.00,0.03314
651.00,0.02251
652.00,0.03508
653.00,0.03792
654.00,0.02703
655.00,0.02488
656.00,0.01874
657.00,0.03005
658.00,0.02815
659.00,0.02232
660.00,0.03434
661.00,0.02892
662.00,0.02516
663.00,0.02830
664.00,0.03806
665.00,0.03526
666.00,0.03088
667.00,0.03539
668.00,0.02473
669.00,0.03191
670.00,0.03262
671.00,0.02895
672.00,0.03440
673.00,0.02714
674.00,0.03491
675.00,0.03519
676.00,0.01441
677.00,0.03908
678.00,0.01369
679.00,0.02831
680.00,0.03820
681.00,0.03017
682.00,0.02332
683.00,0.02559
684.00,0.03835
685.00,0.02069
686.00,0.03903
687.00,0.03197
688.00,0.02518
689.00,0.02888
690.00,0.02631
691.00,0.03765
692.00,0.03688
693.00,0.02221
694.00,0.03015
695.00,0.02743
696.00,0.04041
697.00,0.02458
698.00,0.04235
699.00,0.03256
700.00,0.02583
